year,team
1920,AKR
1920,BUF
1920,CAN
1920,CHI
1920,CHT
1920,CLE
1920,COL
1920,CRD
1920,DAY
1920,DET
1920,HAM
1920,MUN
1920,RCH
1920,RII
1921,AKR
1921,BUF
1921,CAN
1921,CHI
1921,CIN
1921,CLE
1921,COL
1921,CRD
1921,DAY
1921,DET
1921,EVN
1921,GNB
1921,HAM
1921,LOU
1921,MIN
1921,MUN
1921,NYG
1921,RCH
1921,RII
1921,TON
1921,WAS
1922,AKR
1922,BUF
1922,CAN
1922,CHI
1922,COL
1922,CRD
1922,DAY
1922,EVN
1922,GNB
1922,HAM
1922,LOU
1922,MIL
1922,MIN
1922,OOR
1922,RAC
1922,RCH
1922,RII
1922,TOL
1923,AKR
1923,BUF
1923,CAN
1923,CHI
1923,CLI
1923,COL
1923,CRD
1923,DAY
1923,DUL
1923,GNB
1923,HAM
1923,LOU
1923,MIL
1923,MIN
1923,OOR
1923,RAC
1923,RCH
1923,RII
1923,STL
1923,TOL
1924,AKR
1924,BUF
1924,CHI
1924,CLE
1924,COL
1924,CRD
1924,DAY
1924,DUL
1924,FRN
1924,GNB
1924,HAM
1924,KAN
1924,KEN
1924,MIL
1924,MIN
1924,RAC
1924,RCH
1924,RII
1925,AKR
1925,BUF
1925,CAN
1925,CHI
1925,CLE
1925,COL
1925,CRD
1925,DAY
1925,DET
1925,DUL
1925,FRN
1925,GNB
1925,HAM
1925,KAN
1925,MIL
1925,NYG
1925,POT
1925,PRV
1925,RCH
1925,RII
1926,AKR
1926,BRL
1926,BUF
1926,CAN
1926,CHI
1926,COL
1926,CRD
1926,DAY
1926,DET
1926,DUL
1926,FRN
1926,GNB
1926,HAM
1926,HRT
1926,KAN
1926,LAB
1926,LOU
1926,MIL
1926,NYG
1926,POT
1926,PRV
1926,RAC
1927,BUF
1927,CHI
1927,CLE
1927,CRD
1927,DAY
1927,DUL
1927,FRN
1927,GNB
1927,NYG
1927,NYY
1927,POT
1927,PRV
1928,CHI
1928,CRD
1928,DAY
1928,DET
1928,FRN
1928,GNB
1928,NYG
1928,NYY
1928,POT
1928,PRV
1929,BOS
1929,BUF
1929,CHI
1929,CRD
1929,DAY
1929,FRN
1929,GNB
1929,MIN
1929,NYG
1929,PRV
1929,SIS
1929,TOR
1930,BKN
1930,CHI
1930,CRD
1930,FRN
1930,GNB
1930,MIN
1930,NYG
1930,PRT
1930,PRV
1930,SIS
1930,TOR
1931,BKN
1931,CHI
1931,CLE
1931,CRD
1931,FRN
1931,GNB
1931,NYG
1931,PRT
1931,PRV
1931,SIS
1932,BKN
1932,BOS
1932,CHI
1932,CRD
1932,GNB
1932,NYG
1932,PRT
1932,SIS
1933,BKN
1933,BOS
1933,CHI
1933,CIN
1933,CRD
1933,GNB
1933,NYG
1933,PHI
1933,PIT
1933,PRT
1934,BKN
1934,BOS
1934,CHI
1934,CIN
1934,CRD
1934,DET
1934,GNB
1934,NYG
1934,PHI
1934,PIT
1934,STL
1935,BKN
1935,BOS
1935,CHI
1935,CRD
1935,DET
1935,GNB
1935,NYG
1935,PHI
1935,PIT
1936,BKN
1936,BOS
1936,CHI
1936,CRD
1936,DET
1936,GNB
1936,NYG
1936,PHI
1936,PIT
1937,BKN
1937,CHI
1937,CRD
1937,DET
1937,GNB
1937,NYG
1937,PHI
1937,PIT
1937,RAM
1937,WAS
1938,BKN
1938,CHI
1938,CRD
1938,DET
1938,GNB
1938,NYG
1938,PHI
1938,PIT
1938,RAM
1938,WAS
1939,BKN
1939,CHI
1939,CRD
1939,DET
1939,GNB
1939,NYG
1939,PHI
1939,PIT
1939,RAM
1939,WAS
1940,BKN
1940,CHI
1940,CRD
1940,DET
1940,GNB
1940,NYG
1940,PHI
1940,PIT
1940,RAM
1940,WAS
1941,BKN
1941,CHI
1941,CRD
1941,DET
1941,GNB
1941,NYG
1941,PHI
1941,PIT
1941,RAM
1941,WAS
1942,BKN
1942,CHI
1942,CRD
1942,DET
1942,GNB
1942,NYG
1942,PHI
1942,PIT
1942,RAM
1942,WAS
1943,BKN
1943,CHI
1943,CRD
1943,DET
1943,GNB
1943,NYG
1943,PHI
1943,WAS
1944,BKN
1944,BOS
1944,CHI
1944,CRD
1944,DET
1944,GNB
1944,NYG
1944,PHI
1944,RAM
1944,WAS
1945,BOS
1945,CHI
1945,CRD
1945,DET
1945,GNB
1945,NYG
1945,PHI
1945,PIT
1945,RAM
1945,WAS
1946,BDA
1946,BOS
1946,BUF
1946,CHI
1946,CHR
1946,CLE
1946,CRD
1946,DET
1946,GNB
1946,LAD
1946,MIA
1946,NYG
1946,NYY
1946,PHI
1946,PIT
1946,RAM
1946,SFO
1946,WAS
1947,BCL
1947,BDA
1947,BOS
1947,BUF
1947,CHI
1947,CHR
1947,CLE
1947,CRD
1947,DET
1947,GNB
1947,LAD
1947,NYG
1947,NYY
1947,PHI
1947,PIT
1947,RAM
1947,SFO
1947,WAS
1948,BCL
1948,BDA
1948,BOS
1948,BUF
1948,CHI
1948,CHR
1948,CLE
1948,CRD
1948,DET
1948,GNB
1948,LAD
1948,NYG
1948,NYY
1948,PHI
1948,PIT
